Operation,Parameters,Query,ObjectType,NonPIIParameters,UserServicePlan,UserType,ObjectId,SecurityComplianceCenterEventType,ResultStatus,SharepointLocations,Case,OrganizationId,ClientApplication,PublicFolderLocations,UserKey,UserId,CreationTime,CmdletVersion,Version,RecordType,ExtendedProperties,Workload,ExchangeLocations,Id,StartTime,EffectiveOrganization
SearchStarted,*REDACTED*,*REDACTED*,Search,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:31:18,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
SearchViewed,*REDACTED*,*REDACTED*,Search,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:31:18,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
SearchStarted,*REDACTED*,*REDACTED*,Search,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:31:18,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
SearchViewed,*REDACTED*,*REDACTED*,Search,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:31:20,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
SearchViewed,*REDACTED*,*REDACTED*,Search,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:31:20,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
SearchViewed,*REDACTED*,*REDACTED*,Search,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:31:26,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
SearchViewed,*REDACTED*,*REDACTED*,Search,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:31:26,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
SearchPreviewed,*REDACTED*,*REDACTED*,SearchAction,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:33:29,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
SearchPreviewed,*REDACTED*,*REDACTED*,SearchAction,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:33:29,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
ViewedSearchPreviewed,*REDACTED*,*REDACTED*,SearchAction,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:33:32,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
ViewedSearchPreviewed,*REDACTED*,*REDACTED*,SearchAction,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:33:32,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
ViewedSearchPreviewed,*REDACTED*,*REDACTED*,SearchAction,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:33:37,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
ViewedSearchPreviewed,*REDACTED*,*REDACTED*,SearchAction,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:33:37,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
ViewedSearchPreviewed,*REDACTED*,*REDACTED*,SearchAction,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:33:42,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
ViewedSearchPreviewed,*REDACTED*,*REDACTED*,SearchAction,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:33:42,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
