Operation,UserKey,UserId,CreationTime,Version,RecordType,Workload,UserType,ObjectId,Id,OrganizationId
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:33:53,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:33:53,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:34:16,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:34:16,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:34:55,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:34:55,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:35:40,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:35:40,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:35:58,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:35:58,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:36:32,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:36:32,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:36:52,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:36:52,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:37:23,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:37:23,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:37:47,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:37:47,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:38:15,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:38:15,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:38:39,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:38:39,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
